State,Participation,EBRW,Math,Total
Alabama,4%,586,560,1146
Alaska,26%,565,545,1110
Arizona,14%,583,577,1159
Arkansas,2%,610,581,1191
California,21%,560,555,1115
Colorado,84%,551,503,1021
Connecticut,89%,520,505,1025
Delaware,95%,449,477,968
District of Columbia,100%,502,484,985
Florida,87%,510,473,983
Georgia,54%,541,520,1060
Hawaii,31%,566,558,1124
Idaho,97%,499,488,968
Illinois,97%,495,485,981
Indiana,48%,540,533,1073
Iowa,3%,602,594,1196
Kansas,2%,621,617,1238
Kentucky,2%,618,600,1219
Louisiana,3%,597,574,1171
Maine,43%,549,532,1081
Maryland,54%,546,529,1075
Massachusetts,55%,567,561,1029
Michigan,84%,506,495,1000
Minnesota,3%,613,612,1225
Mississippi,1%,623,602,1226
Missouri,3%,606,594,1200
Montana,6%,609,597,1206
Nebraska,2%,613,609,1222
Nevada,6%,592,580,1172
New Hampshire,81%,530,521,1050
New Jersey,63%,543,537,1079
New Mexico,42%,496,480,976
New York,59%,534,533,1067
North Carolina,27%,573,562,1136
North Dakota,1%,610,603,1212
Ohio,18%,528,525,1053
Oklahoma,17%,485,467,951
Oregon,22%,580,567,1143
Pennsylvania,48%,551,540,1091
Puerto Rico,not provided,513,476,989
Rhode Island,93%,494,477,971
South Carolina,51%,526,504,1030
South Dakota,2%,608,611,1219
Tennessee,5%,610,589,1200
Texas,64%,506,495,1001
Utah,2%,618,615,1233
Vermont,48%,558,537,1095
Virginia,48%,572,552,1124
"Virgin Islands, US",not provided,489,451,940
Washington,32%,554,542,1096
West Virginia,84%,481,456,938
Wisconsin,2%,622,629,1252
Wyoming,2%,627,617,1244
