State,Participation,Composite
Alabama,100.0,18.0
Louisiana,100.0,18.1
Mississippi,100.0,17.8
Nevada,100.0,17.3
Tennessee,100.0,18.6
Wyoming,100.0,19.2
Kentucky,96.0,18.6
North Dakota,96.0,19.2
Montana,94.0,19.3
Nebraska,94.0,19.4
Oklahoma,94.0,17.9
Arkansas,93.0,18.8
Wisconsin,93.0,19.4
Utah,91.0,19.9
North Carolina,88.0,18.5
Ohio,82.0,19.4
Kansas,73.0,19.9
Minnesota,69.0,21.0
Missouri,66.0,20.2
Arizona,64.0,18.4
South Dakota,58.0,21.5
Hawaii,53.0,18.8
Iowa,49.0,21.4
Florida,46.0,19.0
South Carolina,40.0,18.9
Georgia,30.0,21.6
West Virginia,28.0,20.5
Texas,22.0,19.8
New Mexico,20.0,19.8
District of Columbia,18.0,26.9
Illinois,18.0,24.5
Colorado,15.0,23.2
Idaho,15.0,22.8
Alaska,14.0,20.4
Indiana,13.0,22.8
New Jersey,12.0,24.6
New York,10.0,25.3
Connecticut,9.0,26.3
Massachusetts,9.0,26.5
Virginia,9.0,24.6
Maryland,8.0,24.4
Michigan,8.0,24.6
Vermont,8.0,23.7
Oregon,7.0,23.0
Pennsylvania,7.0,24.4
Washington,7.0,24.6
Delaware,5.0,24.9
New Hampshire,5.0,25.7
Rhode Island,5.0,25.2
California,4.0,26.5
Maine,2.0,25.1
National,36.0,19.8
